school_name.x,asian,black,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,school_number,grade,mean_scale_score,latitude,longitude,any_lead_free_buildings,number_of_outlets_result_less,number_of_outlets_result_greater,number_of_outlets,county,school_district,lead_percent,minority,largest,race
P.S. 015 Roberto Clemente,0.0437,0.3552,0.0929,0.5847,0.0055,1,0.3115,0.0109,M015,All Grades,307,-73.978772009,40.721723214,No,69,7,76,New York,NYC DOE,0.09210526315789473,Minority,0.5847,Hispanic
P.S. 019 Asher Levy,0.1111,0.1741,0.0667,0.5852,0.0296,0.7296,0.2852,0.1,M019,All Grades,315,-73.983839017,40.729664147,No,90,1,91,New York,NYC DOE,0.01098901098901099,Minority,0.5852,Hispanic
P.S. 020 Anna Silver,0.3649,0.0837,0.1848,0.4882,0.0237,1,0.2227,0.0395,M020,All Grades,292,-73.986593799,40.7215564,No,119,3,122,New York,NYC DOE,0.02459016393442623,Minority,0.4882,Hispanic
P.S. 034 Franklin D. Roosevelt,0.0633,0.2785,0.0684,0.6203,0.0025,0.9646,0.281,0.0354,M034,All Grades,291,-73.974832039,40.726310786,No,84,4,88,New York,NYC DOE,0.045454545454545456,Minority,0.6203,Hispanic
The STAR Academy - P.S.63,0.0704,0.206,0.0352,0.6231,0,0.8291,0.3166,0.1005,M063,All Grades,309,-73.98624995,40.724082188,No,64,5,69,New York,NYC DOE,0.07246376811594203,Minority,0.6231,Hispanic
P.S. 064 Robert Simon,0.0709,0.1809,0.0674,0.656,0.0177,0.9326,0.3227,0.0745,M064,All Grades,297,-73.981311542,40.724319793,No,107,6,113,New York,NYC DOE,0.05309734513274336,Minority,0.656,Hispanic
P.S. 110 Florence Nightingale,0.1289,0.0979,0.0215,0.4439,0.0382,0.5155,0.1599,0.2912,M110,All Grades,337,-73.979990622,40.716192072,No,40,1,41,New York,NYC DOE,0.024390243902439025,Minority,0.4439,Hispanic
P.S. 134 Henrietta Szold,0.2549,0.1922,0.1255,0.5216,0,0.9333,0.302,0.0314,M134,All Grades,285,-73.983190605,40.714607536,No,134,4,138,New York,NYC DOE,0.028985507246376812,Minority,0.5216,Hispanic
P.S. 140 Nathan Straus,0.0553,0.1053,0.1737,0.7947,0.0053,1,0.3237,0.0395,M140,All Grades,281,-73.983160387,40.719088634,No,94,1,95,New York,NYC DOE,0.010526315789473684,Minority,0.7947,Hispanic
P.S. 142 Amalia Castro,0.0544,0.1425,0.1036,0.7617,0.0259,0.9611,0.2824,0.0155,M142,All Grades,294,-73.984341113,40.718526391,No,108,6,114,New York,NYC DOE,0.05263157894736842,Minority,0.7617,Hispanic
