school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
M015,0.0929,0.5847,0.0055,1,0.3115,0.0109,0.0437,0.3552,All Grades,307,No,0.09210526315789473,Minority,Hispanic
M019,0.0667,0.5852,0.0296,0.7296,0.2852,0.1,0.1111,0.1741,All Grades,315,No,0.01098901098901099,Minority,Hispanic
M020,0.1848,0.4882,0.0237,1,0.2227,0.0395,0.3649,0.0837,All Grades,292,No,0.02459016393442623,Minority,Hispanic
M034,0.0684,0.6203,0.0025,0.9646,0.281,0.0354,0.0633,0.2785,All Grades,291,No,0.045454545454545456,Minority,Hispanic
M063,0.0352,0.6231,0,0.8291,0.3166,0.1005,0.0704,0.206,All Grades,309,No,0.07246376811594203,Minority,Hispanic
M064,0.0674,0.656,0.0177,0.9326,0.3227,0.0745,0.0709,0.1809,All Grades,297,No,0.05309734513274336,Minority,Hispanic
M110,0.0215,0.4439,0.0382,0.5155,0.1599,0.2912,0.1289,0.0979,All Grades,337,No,0.024390243902439025,Minority,Hispanic
M134,0.1255,0.5216,0,0.9333,0.302,0.0314,0.2549,0.1922,All Grades,285,No,0.028985507246376812,Minority,Hispanic
M140,0.1737,0.7947,0.0053,1,0.3237,0.0395,0.0553,0.1053,All Grades,281,No,0.010526315789473684,Minority,Hispanic
M142,0.1036,0.7617,0.0259,0.9611,0.2824,0.0155,0.0544,0.1425,All Grades,294,No,0.05263157894736842,Minority,Hispanic
M184,0.1759,0.0872,0.0436,0.6902,0.1233,0.0872,0.7504,0.0316,All Grades,340,NA,NA,Minority,Asian
M188,0.1452,0.6162,0.0021,1,0.2656,0.0498,0.0187,0.3133,All Grades,290,No,0.011235955056179775,Minority,Hispanic
M301,0.0604,0.5839,0.0336,0.8523,0.396,0.0336,0.0805,0.2685,All Grades,272,NA,NA,Minority,Hispanic
M315,0.0138,0.2215,0.0588,0.2837,0.2457,0.5087,0.1003,0.1107,All Grades,321,NA,NA,White,White
M332,0.1395,0.6628,0.0349,0.8721,0.3953,0.0465,0.0465,0.2093,All Grades,270,NA,NA,Minority,Hispanic
M361,0.051,0.3608,0.0157,0.4588,0.2235,0.3961,0.1137,0.1137,All Grades,309,NA,NA,Minority,White
M363,0.0464,0.2881,0.0132,0.3808,0.255,0.4768,0.0728,0.149,All Grades,299,NA,NA,Minority,White
M364,0.0467,0.3396,0.0654,0.4237,0.1994,0.3801,0.0748,0.1402,All Grades,298,NA,NA,Minority,White
M378,0.1404,0.5617,0.0213,1,0.3319,0.0255,0.1617,0.2298,All Grades,292,NA,NA,Minority,Hispanic
M450,0.012,0.5646,0.0195,0.7357,0.2688,0.1081,0.0931,0.2147,All Grades,309,NA,NA,Minority,Hispanic
M539,0.0012,0.1095,0.0507,0.2732,0.0363,0.4161,0.3326,0.0911,All Grades,364,NA,NA,Minority,White
M839,0.0353,0.4049,0.038,0.6875,0.2446,0.1929,0.2201,0.144,All Grades,310,NA,NA,Minority,Hispanic
M001,0.314,0.2043,0.0043,1,0.1634,0.0129,0.6667,0.1118,All Grades,320,No,0.05,Minority,Asian
M002,0.4355,0.0842,0,0.9737,0.1697,0.0158,0.8566,0.0434,All Grades,331,No,0.03184713375796178,Minority,Asian
M003,0.0445,0.1174,0.0655,0.1619,0.1632,0.6984,0.0643,0.0544,All Grades,332,No,0.06578947368421052,White,White
M006,0.0289,0.0744,0.0344,0.0675,0.1515,0.7534,0.1129,0.0248,All Grades,347,No,0.07194244604316546,White,White
M011,0.0356,0.2775,0.0356,0.2901,0.1376,0.4862,0.1273,0.0734,All Grades,328,No,0.16346153846153846,Minority,White
M033,0.0473,0.3107,0.0678,0.4953,0.1167,0.2539,0.2492,0.1183,All Grades,332,No,0.05,Minority,Hispanic
M040,0.0144,0.1362,0.101,0.0849,0.1651,0.6426,0.0913,0.0288,All Grades,346,No,0.05263157894736842,White,White
M041,0.0145,0.0951,0.1057,0.0383,0.1572,0.6843,0.0938,0.0211,All Grades,342,No,0.06504065040650407,White,White
M042,0.2822,0.0374,0.0052,1,0.1314,0.0258,0.9227,0.009,All Grades,341,No,0.030303030303030304,Minority,Asian
M051,0.1114,0.4743,0.02,1,0.2514,0.1714,0.2114,0.1229,All Grades,316,NA,NA,Minority,Hispanic
M059,0.0503,0.1426,0.099,0.1091,0.1644,0.604,0.1309,0.0235,All Grades,336,NA,NA,White,White
M077,0,0.0629,0.08,0.0486,0.1257,0.6229,0.2257,0.0086,All Grades,363,NA,NA,White,White
M089,0.0385,0.1493,0.0633,0.0385,0.1516,0.6199,0.1448,0.0226,All Grades,341,No,0,White,White
M104,0.0643,0.2013,0.0196,0.6207,0.1687,0.2442,0.4464,0.0885,All Grades,325,No,0.029411764705882353,Minority,Asian
M111,0.1333,0.5527,0.0215,1,0.2796,0.114,0.1484,0.1634,All Grades,299,No,0.041666666666666664,Minority,Hispanic
M114,0,0.1024,0.0401,0.1136,0.1559,0.6793,0.147,0.0312,All Grades,362,No,0.012345679012345678,White,White
M116,0.0862,0.2083,0.0647,0.3563,0.1422,0.444,0.1882,0.0948,All Grades,319,No,0.058823529411764705,Minority,White
M124,0.3414,0.0301,0.0035,1,0.0961,0.0174,0.9433,0.0058,All Grades,340,No,0.17391304347826086,Minority,Asian
M126,0.2182,0.2182,0.0185,0.7855,0.164,0.0949,0.5549,0.1134,All Grades,328,No,0.10091743119266056,Minority,Asian
M130,0.1722,0.044,0.026,1,0.1211,0.045,0.8749,0.01,All Grades,348,No,0.0364963503649635,Minority,Asian
M131,0.4212,0.1158,0,0.9507,0.2685,0.0025,0.8005,0.0813,All Grades,320,No,0.10674157303370786,Minority,Asian
M150,0.0326,0.1467,0.1087,0.1576,0.1576,0.5435,0.125,0.0761,All Grades,344,NA,NA,White,White
M151,0.0734,0.25,0.0699,0.3811,0.1696,0.4703,0.0699,0.1399,All Grades,323,NA,NA,Minority,White
M158,0.042,0.1091,0.0368,0.1314,0.1774,0.707,0.1091,0.0381,All Grades,343,No,0.012345679012345678,White,White
M167,0.0462,0.2185,0.0264,0.467,0.1826,0.3834,0.2749,0.0968,All Grades,336,No,0.08695652173913043,Minority,White
M177,0.0357,0.2857,0.0714,0.3571,0.2857,0.4286,0.125,0.0893,All Grades,328,NA,NA,Minority,White
M183,0.0555,0.1008,0.0286,0.0941,0.1849,0.6387,0.195,0.037,All Grades,344,No,0.0196078431372549,White,White
M198,0.0628,0.3074,0.0108,0.5108,0.184,0.4048,0.1407,0.1364,All Grades,333,No,0.014084507042253521,Minority,White
M212,0.0249,0.2188,0.133,0.1884,0.1163,0.5014,0.0776,0.0693,All Grades,331,NA,NA,White,White
M217,0.0746,0.1586,0.0354,0.3507,0.1194,0.3433,0.278,0.1847,All Grades,327,NA,NA,Minority,White
M225,0.0372,0.418,0.0557,0.4272,0.195,0.2786,0.0372,0.2105,All Grades,314,NA,NA,Minority,Hispanic
M234,0.0165,0.0754,0.0974,0.0466,0.1605,0.7023,0.1152,0.0096,All Grades,335,No,0.02631578947368421,White,White
M255,0,0.0849,0.0274,0.1068,0.137,0.6356,0.2137,0.0384,All Grades,356,NA,NA,White,White
M260,0.0111,0.1407,0.0333,0.2,0.163,0.6111,0.1519,0.063,All Grades,338,NA,NA,White,White
M267,0.0219,0.0625,0.025,0.075,0.1656,0.8062,0.0906,0.0156,All Grades,338,No,0.030303030303030304,White,White
M276,0.0233,0.1155,0.0618,0.0863,0.1459,0.5543,0.2229,0.0455,All Grades,331,No,0.01639344262295082,White,White
M281,0.1827,0.125,0.0096,0.3269,0.1346,0.3846,0.4038,0.0769,All Grades,326,No,0.15,Minority,Asian
M289,0.0137,0.1575,0.0274,0.3356,0.1747,0.3836,0.3527,0.0788,All Grades,327,NA,NA,Minority,White
M290,0.0464,0.0712,0.0573,0.0991,0.1424,0.7415,0.1161,0.0139,All Grades,346,NA,NA,White,White
M312,0.0036,0.0717,0.0789,0.3459,0.1487,0.3835,0.4462,0.0197,All Grades,356,NA,NA,Minority,Asian
M343,0.0559,0.1118,0.1118,0.0745,0.1366,0.5901,0.1491,0.0373,All Grades,329,No,0.031914893617021274,White,White
M347,0.0765,0.4898,0.0357,0.6939,0.5357,0.2143,0.0306,0.2296,All Grades,303,NA,NA,Minority,Hispanic
M397,0.0163,0.1233,0.1326,0.0907,0.1279,0.5767,0.1419,0.0256,All Grades,334,NA,NA,White,White
M407,0,0.1556,0.0685,0.1805,0.0685,0.5643,0.0664,0.1452,All Grades,306,NA,NA,White,White
M408,0.0019,0.2034,0.0597,0.306,0.1045,0.472,0.0317,0.2332,All Grades,344,NA,NA,Minority,White
M413,0.007,0.3029,0.0898,0.3717,0.1473,0.3576,0.1459,0.1038,All Grades,327,NA,NA,Minority,White
M422,0.0248,0.3617,0.0496,0.4149,0.3032,0.3387,0.0957,0.1543,All Grades,296,NA,NA,Minority,Hispanic
M442,0.0067,0.16,0.0333,1,0.0133,0.1933,0.3733,0.24,All Grades,338,NA,NA,Minority,Asian
M527,0.0127,0.1338,0.0318,0.1656,0.2038,0.6497,0.172,0.0127,All Grades,344,NA,NA,White,White
M655,0.0674,0.6227,0.0172,0.726,0.198,0.0316,0.0373,0.2912,All Grades,278,NA,NA,Minority,Hispanic
M896,0.0902,0.2077,0.0355,0.582,0.2814,0.2186,0.4016,0.1366,All Grades,323,No,0,Minority,Asian
M933,0.0633,0.481,0.038,0.6835,0.3544,0.1899,0.0759,0.2152,All Grades,293,No,0.03125,Minority,Hispanic
M009,0.035,0.2143,0.041,0.2112,0.1261,0.6185,0.0821,0.0441,All Grades,344,No,0.02608695652173913,White,White
M054,0.0123,0.139,0.064,0.2054,0.1205,0.6458,0.0554,0.0959,All Grades,352,No,0.021505376344086023,White,White
M075,0.1413,0.5283,0.0247,0.6837,0.2544,0.1661,0.0318,0.2491,All Grades,312,No,0.027972027972027972,Minority,Hispanic
M076,0.0904,0.1827,0.0058,0.8904,0.1712,0.0231,0.0038,0.7846,All Grades,276,No,0.018018018018018018,Minority,Black
M084,0.096,0.4472,0.0384,0.5317,0.1651,0.3512,0.0154,0.1478,All Grades,318,No,0,Minority,Hispanic
M087,0.0366,0.1474,0.0811,0.0891,0.1566,0.6537,0.0697,0.048,All Grades,340,No,0.011363636363636364,White,White
